Daily Confirmed,Daily Recovered
1,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,1
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
1,0
22,0
2,0
1,0
3,0
5,0
9,0
15,1
8,0
10,0
10,6
11,0
10,3
14,1
20,1
25,0
27,5
58,3
78,0
69,0
94,2
74,15
86,3
73,7
153,25
136,10
120,17
187,35
309,13
424,19
486,22
560,39
579,56
609,43
484,65
573,75
565,96
813,70
871,151
854,186
758,114
1243,112
1031,167
886,144
1061,258
922,273
1371,426
1580,388
1239,419
1537,703
1292,394
1667,642
1408,484
1835,442
1607,585
1568,580
1902,636
1705,690
1801,630
2396,962
2564,831
2952,911
3656,1082
2971,1295
3602,1161
3344,1475
3339,1111
3175,1414
4311,1669
3592,1579
3562,1905
3726,1963
3991,1594
3808,2234
4794,4012
5049,2538
4628,2482
6154,3032
5720,3113
6023,3131
6536,3280
6667,2576
7111,3285
6414,3012
5907,3585
7246,3434
7254,3171
8138,11735
8364,4303
8789,4928
7723,3882
8812,4531
9689,3789
9847,4390
9472,4770
10408,5433
10882,5191
8536,5171
9981,5634
11156,6275
11135,6044
11306,7263
12039,8092
11405,7358
10032,10639
11086,7226
13108,6890
13829,10741
14740,9029
15918,13974
15151,9075
13560,10879
15656,10462
16868,13089
18205,13983
18255,10246
20142,14229
19610,11631
18339,13497
18256,12565
19429,12064
21947,19999
22718,14417
24018,14746
23942,15829
22500,15315
23147,16836
25561,19508
25790,19408
27762,20289
27757,19981
29106,18198
28178,17683
29917,20977
32607,20646
35468,22867
34820,17476
37411,23583
40235,22730
36806,24303
39170,27589
45601,31875
48443,33326
48888,32514
50072,37125
48932,31512
46484,34354
49631,35683
52479,32886
54968,37425
57486,36554
55117,51368
52672,40355
50488,43070
51282,51220
56626,45583
62170,50141
