Tested,Positive
2621,400
9041,576
9968,720
11061,903
11709,1069
14036,1154
15032,1510
16282,1561
16605,1578
18784,1640
21409,1707
22283,1893
24387,2003
25900,2081
26627,2156
28309,2248
30560,2375
33672,2514
35519,2625
37613,2918
39911,3108
43370,3314
47225,3439
58210,4122
60246,4549
64108,4898
67852,5104
71934,5532
77234,5980
81367,6318
84226,6542
93810,6923
97678,7233
106109,7639
113345,7998
119736,8470
125189,8895
130845,9333
135791,9755
139727,10054
145854,10554
150282,11088
154385,11659
160255,12319
165047,12910
169873,13418
174469,14053
178579,14465
184362,15257
191977,16281
199626,17386
206739,18549
212784,19844
217537,20834
223607,22132
230145,23645
236506,25004
241693,26334
246873,27654
251915,28936
255615,29943
261079,31309
266156,32810
271516,34687
277463,36824
283239,38958
290592,41182
296697,42829
304483,44688
312576,47102
321302,49979
334376,53116
351909,56746
370014,59746
384696,62655
401648,66602
420707,70390
438012,73780
459156,77240
478336,80188
498416,83077
514573,85161
531752,87360
551708,89802
572530,92175
596695,94695
620368,97200
643504,99444
657383,100823
679831,102831
701859,104864
724148,107051
747109,109140
768617,110921
789853,112494
692845,113740
713908,115346
736436,116993
756661,118645
777125,120107
798783,121582
818989,122793
830459,123747
851311,125096
871371,126323
889597,127364
908735,128389
929244,129531
946777,130606
958283,131219
976827,132275
994219,133310
1013694,134403
1032785,135000
1050939,136716
1063669,137677
1073802,138482
1083097,139156
1099882,140232
1120318,141531
